Periodo_Real,Año,Mes,Codigo_Plan_SAP,Programa,Facultad,Gestion,Modalidad_Agrupada,Concluyeron el Plan,Admitidos Matriculados,Nuevos Traslados,Nuevos Convalidados,Permanentes Continuos,Perm. Siempre (0m),Perm. 1mes,Permanentes Incontinuos,Reincorporados (6-12m),Reincorporados (>12m),Riesgo Deserción (1m),Riesgo Deserción (2m),Deserción Temprana (3-6m),Deserción Tardía (7-12m),Deserción Muy Tardía (>12m),Retenidos (1m),Matríc. regular a Distancia,Estudiantes matrí. TOTAL
2019-11,2019,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,6,7,0,0,84,76,8,1,0,0,13,5,16,31,99,84,88,98
2019-12,2019,Diciembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,8,0,0,75,69,6,2,1,1,21,6,15,28,103,75,79,91
2020-01,2020,Enero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,3,12,0,0,78,71,7,2,0,0,15,13,16,25,108,78,89,95
2020-02,2020,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,1,16,0,0,75,71,4,5,0,1,21,10,19,24,113,75,88,98
2020-03,2020,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,13,0,0,86,73,13,4,0,0,23,8,23,21,117,86,99,105
2020-04,2020,Abril,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,16,9,0,1,80,74,6,4,0,0,24,11,21,18,121,80,109,109
2020-05,2020,Mayo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,6,0,0,77,71,6,2,2,1,18,18,26,15,125,77,92,92
2020-06,2020,Junio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,10,0,0,79,73,6,5,2,1,15,11,32,15,128,79,96,99
2020-07,2020,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,17,10,0,0,89,85,4,13,0,1,11,7,12,20,128,89,130,130
2020-08,2020,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,10,9,0,0,93,88,5,0,2,0,16,6,17,15,132,93,103,114
2020-09,2020,Setiembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,6,10,0,1,70,66,4,3,2,1,37,8,15,16,132,70,92,92
2020-10,2020,Octubre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,12,6,0,0,93,72,21,2,0,1,12,7,15,20,132,93,111,114
2020-11,2020,Noviembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,5,3,0,0,77,76,1,4,1,0,24,9,17,16,135,77,90,90
2020-12,2020,Diciembre,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,12,7,1,0,79,71,8,3,0,0,9,10,16,20,137,79,88,101
2021-01,2021,Enero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,14,0,0,67,65,2,7,0,1,24,7,17,17,141,67,89,89
2021-02,2021,Febrero,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,14,10,0,0,85,74,11,3,1,1,11,5,15,20,140,85,104,114
2021-03,2021,Marzo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,4,12,0,0,74,72,2,4,3,1,24,9,15,14,143,74,98,98
2021-04,2021,Abril,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,13,9,0,0,87,79,8,5,0,1,11,7,16,13,146,87,101,115
2021-05,2021,Mayo,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,0,16,0,2,78,76,2,0,1,0,26,9,20,15,146,78,95,95
2021-06,2021,Junio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,13,12,0,0,86,81,5,5,0,0,12,11,20,15,149,86,103,116
2021-07,2021,Julio,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,2,3,0,0,82,81,1,0,1,0,21,11,26,16,151,82,88,88
2021-08,2021,Agosto,O07010902,MAESTRIA EN EDUCACIÓN CON MENCIÓN EN INFORMÁTICA Y TECNOLOGÍA EDUCATIVA,Otros,Sin Partner (Propio),Presencial Regular,8,6,0,0,91,82,9,6,0,0,2,8,24,17,155,91,100,111
